home,score,away,year,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
,,,,Mexico,Cameroon,2014.0,1.0,0.0,1.0
,,,,Ivory Coast,Japan,2014.0,2.0,1.0,3.0
,,,,Cameroon,Croatia,2014.0,0.0,4.0,4.0
,,,,Uruguay,Costa Rica,2014.0,1.0,3.0,4.0
,,,,France,Honduras,2014.0,3.0,0.0,3.0
,,,,Spain,Netherlands,2014.0,1.0,5.0,6.0
,,,,Ecuador,France,2014.0,0.0,0.0,0.0
,,,,Colombia,Ivory Coast,2014.0,2.0,1.0,3.0
,,,,Australia,Spain,2014.0,0.0,3.0,3.0
,,,,Croatia,Mexico,2014.0,1.0,3.0,4.0
,,,,Colombia,Greece,2014.0,3.0,0.0,3.0
,,,,Switzerland,Ecuador,2014.0,2.0,1.0,3.0
,,,,Chile,Australia,2014.0,3.0,1.0,4.0
,,,,Japan,Colombia,2014.0,1.0,4.0,5.0
,,,,Costa Rica,England,2014.0,0.0,0.0,0.0
,,,,England,Italy,2014.0,1.0,2.0,3.0
,,,,Uruguay,England,2014.0,2.0,1.0,3.0
,,,,Italy,Costa Rica,2014.0,0.0,1.0,1.0
,,,,Italy,Uruguay,2014.0,0.0,1.0,1.0
,,,,Spain,Chile,2014.0,0.0,2.0,2.0
,,,,Brazil,Mexico,2014.0,0.0,0.0,0.0
,,,,Netherlands,Chile,2014.0,2.0,0.0,2.0
,,,,Switzerland,France,2014.0,2.0,5.0,7.0
,,,,Honduras,Switzerland,2014.0,0.0,3.0,3.0
,,,,Brazil,Croatia,2014.0,3.0,1.0,4.0
,,,,Japan,Greece,2014.0,0.0,0.0,0.0
,,,,Argentina,Bosnia and Herzegovina,2014.0,2.0,1.0,3.0
,,,,Cameroon,Brazil,2014.0,1.0,4.0,5.0
,,,,Tunisia,England,2018.0,1.0,2.0,3.0
,,,,South Korea,Germany,2018.0,2.0,0.0,2.0
,,,,Mexico,Sweden,2018.0,0.0,3.0,3.0
,,,,Belgium,Panama,2018.0,3.0,0.0,3.0
,,,,Belgium,Tunisia,2018.0,5.0,2.0,7.0
,,,,Uruguay,Russia,2018.0,3.0,0.0,3.0
,,,,England,Belgium,2018.0,0.0,1.0,1.0
,,,,Colombia,Japan,2018.0,1.0,2.0,3.0
,,,,Poland,Senegal,2018.0,1.0,2.0,3.0
,,,,Japan,Senegal,2018.0,2.0,2.0,4.0
,,,,Panama,Tunisia,2018.0,1.0,2.0,3.0
,,,,Denmark,Australia,2018.0,1.0,1.0,2.0
,,,,Spain,Morocco,2018.0,2.0,2.0,4.0
,,,,France,Australia,2018.0,2.0,1.0,3.0
,,,,Sweden,South Korea,2018.0,1.0,0.0,1.0
,,,,Denmark,France,2018.0,0.0,0.0,0.0
,,,,Australia,Peru,2018.0,0.0,2.0,2.0
,,,,Spain,Russia,2018.0,1.0,1.0,2.0
,,,,Croatia,Denmark,2018.0,1.0,1.0,2.0
,,,,Brazil,Mexico,2018.0,2.0,0.0,2.0
,,,,Belgium,Japan,2018.0,3.0,2.0,5.0
,,,,Sweden,Switzerland,2018.0,1.0,0.0,1.0
,,,,Colombia,England,2018.0,1.0,1.0,2.0
,,,,Uruguay,France,2018.0,0.0,2.0,2.0
,,,,Brazil,Belgium,2018.0,1.0,2.0,3.0
,,,,Sweden,England,2018.0,0.0,2.0,2.0
,,,,Russia,Croatia,2018.0,2.0,2.0,4.0
,,,,Senegal,Colombia,2018.0,0.0,1.0,1.0
,,,,France,Peru,2018.0,1.0,0.0,1.0
,,,,Croatia,England,2018.0,2.0,1.0,3.0
,,,,Germany,Mexico,2018.0,0.0,1.0,1.0
,,,,France,Belgium,2018.0,1.0,0.0,1.0
,,,,Japan,Poland,2018.0,0.0,1.0,1.0
,,,,Germany,Sweden,2018.0,2.0,1.0,3.0
,,,,Morocco,Iran,2018.0,0.0,1.0,1.0
,,,,Iran,Spain,2018.0,0.0,1.0,1.0
,,,,Portugal,Morocco,2018.0,1.0,0.0,1.0
,,,,Portugal,Spain,2018.0,3.0,3.0,6.0
,,,,Saudi Arabia,Egypt,2018.0,2.0,1.0,3.0
,,,,England,Panama,2018.0,6.0,1.0,7.0
,,,,Uruguay,Saudi Arabia,2018.0,1.0,0.0,1.0
,,,,Russia,Egypt,2018.0,3.0,1.0,4.0
,,,,Egypt,Uruguay,2018.0,0.0,1.0,1.0
,,,,Russia,Saudi Arabia,2018.0,5.0,0.0,5.0
,,,,Peru,Denmark,2018.0,0.0,1.0,1.0
,,,,Iran,Portugal,2018.0,1.0,1.0,2.0
,,,,Poland,Colombia,2018.0,0.0,3.0,3.0
,,,,Switzerland,Costa Rica,2018.0,2.0,2.0,4.0
,,,,France,Argentina,2018.0,4.0,3.0,7.0
,,,,Uruguay,Portugal,2018.0,2.0,1.0,3.0
,,,,Argentina,Iceland,2018.0,1.0,1.0,2.0
,,,,Croatia,Nigeria,2018.0,2.0,0.0,2.0
,,,,Argentina,Croatia,2018.0,0.0,3.0,3.0
,,,,Nigeria,Iceland,2018.0,2.0,0.0,2.0
,,,,Nigeria,Argentina,2018.0,1.0,2.0,3.0
,,,,Iceland,Croatia,2018.0,1.0,2.0,3.0
,,,,Costa Rica,Serbia,2018.0,0.0,1.0,1.0
,,,,Brazil,Switzerland,2018.0,1.0,1.0,2.0
,,,,Brazil,Costa Rica,2018.0,2.0,0.0,2.0
,,,,Serbia,Switzerland,2018.0,1.0,2.0,3.0
,,,,Serbia,Brazil,2018.0,0.0,2.0,2.0
,,,,South Korea,Mexico,2018.0,1.0,2.0,3.0
,,,,France,Croatia,2018.0,4.0,2.0,6.0
,,,,Belgium,England,2018.0,2.0,0.0,2.0
